english,french
The student is young.,L'étudiant est jeune.
The student is safe.,L'étudiant est en sécurité.
Open a book.,Ouvre un livre.
Open a ball.,Ouvre une balle.
Open an apple.,Ouvre une pomme.
Open a key.,Ouvre une clé.
Open a bag.,Ouvre un sac.
Open a letter.,Ouvre une lettre.
Open a flower.,Ouvre une fleur.
Open a chair.,Ouvre une chaise.
Open a map.,Ouvre une carte.
Open a phone.,Ouvre un téléphone.
Close a book.,Ferme un livre.
Close a ball.,Ferme une balle.
Close an apple.,Ferme une pomme.
Close a key.,Ferme une clé.
Close a bag.,Ferme un sac.
Close a letter.,Ferme une lettre.
Close a flower.,Ferme une fleur.
Close a chair.,Ferme une chaise.
Close a map.,Ferme une carte.
Close a phone.,Ferme un téléphone.
Take a book.,Prends un livre.
Take a ball.,Prends une balle.
Take an apple.,Prends une pomme.
Take a key.,Prends une clé.
Take a bag.,Prends un sac.
Take a letter.,Prends une lettre.
Take a flower.,Prends une fleur.
Take a chair.,Prends une chaise.
Take a map.,Prends une carte.
Take a phone.,Prends un téléphone.
Bring a book.,Apporte un livre.
Bring a ball.,Apporte une balle.
Bring an apple.,Apporte une pomme.
Bring a key.,Apporte une clé.
Bring a bag.,Apporte un sac.
Bring a letter.,Apporte une lettre.
Bring a flower.,Apporte une fleur.
Bring a chair.,Apporte une chaise.
Bring a map.,Apporte une carte.
Bring a phone.,Apporte un téléphone.
Find a book.,Trouve un livre.
Find a ball.,Trouve une balle.
Find an apple.,Trouve une pomme.
Find a key.,Trouve une clé.
Find a bag.,Trouve un sac.
Find a letter.,Trouve une lettre.
Find a flower.,Trouve une fleur.
Find a chair.,Trouve une chaise.
Find a map.,Trouve une carte.
Find a phone.,Trouve un téléphone.
Read a book.,Lis un livre.
Read a ball.,Lis une balle.
Read an apple.,Lis une pomme.
Read a key.,Lis une clé.
Read a bag.,Lis un sac.
Read a letter.,Lis une lettre.
Read a flower.,Lis une fleur.
Read a chair.,Lis une chaise.
Read a map.,Lis une carte.
Read a phone.,Lis un téléphone.
Write a book.,Écris un livre.
Write a ball.,Écris une balle.
Write an apple.,Écris une pomme.
Write a key.,Écris une clé.
Write a bag.,Écris un sac.
Write a letter.,Écris une lettre.
Write a flower.,Écris une fleur.
Write a chair.,Écris une chaise.
Write a map.,Écris une carte.
Write a phone.,Écris un téléphone.
Keep a book.,Garde un livre.
Keep a ball.,Garde une balle.
Keep an apple.,Garde une pomme.
Keep a key.,Garde une clé.
Keep a bag.,Garde un sac.
Keep a letter.,Garde une lettre.
Keep a flower.,Garde une fleur.
Keep a chair.,Garde une chaise.
Keep a map.,Garde une carte.
Keep a phone.,Garde un téléphone.
Show a book.,Montre un livre.
Show a ball.,Montre une balle.
Show an apple.,Montre une pomme.
Show a key.,Montre une clé.
Show a bag.,Montre un sac.
Show a letter.,Montre une lettre.
Show a flower.,Montre une fleur.
Show a chair.,Montre une chaise.
Show a map.,Montre une carte.
Show a phone.,Montre un téléphone.
Use a book.,Utilise un livre.
Use a ball.,Utilise une balle.
Use an apple.,Utilise une pomme.
Use a key.,Utilise une clé.
Use a bag.,Utilise un sac.
Use a letter.,Utilise une lettre.
Use a flower.,Utilise une fleur.
Use a chair.,Utilise une chaise.
Use a map.,Utilise une carte.
Use a phone.,Utilise un téléphone.
Is the cat happy?,Le chat est-il heureux ?
Is the cat tired?,Le chat est-il fatigué ?
Is the cat ready?,Le chat est-il prêt ?
Is the cat calm?,Le chat est-il calme ?
Is the cat busy?,Le chat est-il occupé ?
Is the cat kind?,Le chat est-il gentil ?
Is the cat quiet?,Le chat est-il silencieux ?
Is the cat strong?,Le chat est-il fort ?
Is the cat young?,Le chat est-il jeune ?
Is the cat safe?,Le chat est-il en sécurité ?
Is the dog happy?,Le chien est-il heureux ?
Is the dog tired?,Le chien est-il fatigué ?
Is the dog ready?,Le chien est-il prêt ?
Is the dog calm?,Le chien est-il calme ?
Is the dog busy?,Le chien est-il occupé ?
Is the dog kind?,Le chien est-il gentil ?
Is the dog quiet?,Le chien est-il silencieux ?
Is the dog strong?,Le chien est-il fort ?
Is the dog young?,Le chien est-il jeune ?
Is the dog safe?,Le chien est-il en sécurité ?
Is the bird happy?,L'oiseau est-il heureux ?
Is the bird tired?,L'oiseau est-il fatigué ?
Is the bird ready?,L'oiseau est-il prêt ?
Is the bird calm?,L'oiseau est-il calme ?
Is the bird busy?,L'oiseau est-il occupé ?
Is the bird kind?,L'oiseau est-il gentil ?
Is the bird quiet?,L'oiseau est-il silencieux ?
Is the bird strong?,L'oiseau est-il fort ?
Is the bird young?,L'oiseau est-il jeune ?
Is the bird safe?,L'oiseau est-il en sécurité ?
Is the rabbit happy?,Le lapin est-il heureux ?
Is the rabbit tired?,Le lapin est-il fatigué ?
Is the rabbit ready?,Le lapin est-il prêt ?
Is the rabbit calm?,Le lapin est-il calme ?
Is the rabbit busy?,Le lapin est-il occupé ?
Is the rabbit kind?,Le lapin est-il gentil ?
Is the rabbit quiet?,Le lapin est-il silencieux ?
Is the rabbit strong?,Le lapin est-il fort ?
Is the rabbit young?,Le lapin est-il jeune ?
Is the rabbit safe?,Le lapin est-il en sécurité ?
Is the horse happy?,Le cheval est-il heureux ?
Is the horse tired?,Le cheval est-il fatigué ?
Is the horse ready?,Le cheval est-il prêt ?
Is the horse calm?,Le cheval est-il calme ?
Is the horse busy?,Le cheval est-il occupé ?
Is the horse kind?,Le cheval est-il gentil ?
Is the horse quiet?,Le cheval est-il silencieux ?
Is the horse strong?,Le cheval est-il fort ?
Is the horse young?,Le cheval est-il jeune ?
Is the horse safe?,Le cheval est-il en sécurité ?
Is the child happy?,L'enfant est-il heureux ?
Is the child tired?,L'enfant est-il fatigué ?
Is the child ready?,L'enfant est-il prêt ?
Is the child calm?,L'enfant est-il calme ?
Is the child busy?,L'enfant est-il occupé ?
Is the child kind?,L'enfant est-il gentil ?
Is the child quiet?,L'enfant est-il silencieux ?
Is the child strong?,L'enfant est-il fort ?
Is the child young?,L'enfant est-il jeune ?
Is the child safe?,L'enfant est-il en sécurité ?
Is the teacher happy?,Le professeur est-il heureux ?
Is the teacher tired?,Le professeur est-il fatigué ?
Is the teacher ready?,Le professeur est-il prêt ?
Is the teacher calm?,Le professeur est-il calme ?
Is the teacher busy?,Le professeur est-il occupé ?
Is the teacher kind?,Le professeur est-il gentil ?
Is the teacher quiet?,Le professeur est-il silencieux ?
Is the teacher strong?,Le professeur est-il fort ?
Is the teacher young?,Le professeur est-il jeune ?
Is the teacher safe?,Le professeur est-il en sécurité ?
Is the doctor happy?,Le médecin est-il heureux ?
Is the doctor tired?,Le médecin est-il fatigué ?
Is the doctor ready?,Le médecin est-il prêt ?
Is the doctor calm?,Le médecin est-il calme ?
Is the doctor busy?,Le médecin est-il occupé ?
Is the doctor kind?,Le médecin est-il gentil ?
Is the doctor quiet?,Le médecin est-il silencieux ?
Is the doctor strong?,Le médecin est-il fort ?
Is the doctor young?,Le médecin est-il jeune ?
Is the doctor safe?,Le médecin est-il en sécurité ?
Is the friend happy?,L'ami est-il heureux ?
Is the friend tired?,L'ami est-il fatigué ?
Is the friend ready?,L'ami est-il prêt ?
Is the friend calm?,L'ami est-il calme ?
Is the friend busy?,L'ami est-il occupé ?
Is the friend kind?,L'ami est-il gentil ?
Is the friend quiet?,L'ami est-il silencieux ?
Is the friend strong?,L'ami est-il fort ?
Is the friend young?,L'ami est-il jeune ?
Is the friend safe?,L'ami est-il en sécurité ?
Is the student happy?,L'étudiant est-il heureux ?
Is the student tired?,L'étudiant est-il fatigué ?
Is the student ready?,L'étudiant est-il prêt ?
Is the student calm?,L'étudiant est-il calme ?
Is the student busy?,L'étudiant est-il occupé ?
Is the student kind?,L'étudiant est-il gentil ?
Is the student quiet?,L'étudiant est-il silencieux ?
Is the student strong?,L'étudiant est-il fort ?
Is the student young?,L'étudiant est-il jeune ?
Is the student safe?,L'étudiant est-il en sécurité ?
The cat sees a book.,Le chat voit un livre.
The cat sees a ball.,Le chat voit une balle.
The cat sees an apple.,Le chat voit une pomme.
The cat sees a key.,Le chat voit une clé.
The cat sees a bag.,Le chat voit un sac.
The cat sees a letter.,Le chat voit une lettre.
The cat sees a flower.,Le chat voit une fleur.
The cat sees a chair.,Le chat voit une chaise.
The cat sees a map.,Le chat voit une carte.
The cat sees a phone.,Le chat voit un téléphone.
The dog sees a book.,Le chien voit un livre.
The dog sees a ball.,Le chien voit une balle.
The dog sees an apple.,Le chien voit une pomme.
The dog sees a key.,Le chien voit une clé.
The dog sees a bag.,Le chien voit un sac.
The dog sees a letter.,Le chien voit une lettre.
The dog sees a flower.,Le chien voit une fleur.
The dog sees a chair.,Le chien voit une chaise.
The dog sees a map.,Le chien voit une carte.
The dog sees a phone.,Le chien voit un téléphone.
The bird sees a book.,L'oiseau voit un livre.
The bird sees a ball.,L'oiseau voit une balle.
The bird sees an apple.,L'oiseau voit une pomme.
The bird sees a key.,L'oiseau voit une clé.
The bird sees a bag.,L'oiseau voit un sac.
The bird sees a letter.,L'oiseau voit une lettre.
The bird sees a flower.,L'oiseau voit une fleur.
The bird sees a chair.,L'oiseau voit une chaise.
The bird sees a map.,L'oiseau voit une carte.
The bird sees a phone.,L'oiseau voit un téléphone.
The rabbit sees a book.,Le lapin voit un livre.
The rabbit sees a ball.,Le lapin voit une balle.
The rabbit sees an apple.,Le lapin voit une pomme.
The rabbit sees a key.,Le lapin voit une clé.
The rabbit sees a bag.,Le lapin voit un sac.
The rabbit sees a letter.,Le lapin voit une lettre.
The rabbit sees a flower.,Le lapin voit une fleur.
The rabbit sees a chair.,Le lapin voit une chaise.
The rabbit sees a map.,Le lapin voit une carte.
The rabbit sees a phone.,Le lapin voit un téléphone.
The horse sees a book.,Le cheval voit un livre.
The horse sees a ball.,Le cheval voit une balle.
The horse sees an apple.,Le cheval voit une pomme.
The horse sees a key.,Le cheval voit une clé.
The horse sees a bag.,Le cheval voit un sac.
The horse sees a letter.,Le cheval voit une lettre.
The horse sees a flower.,Le cheval voit une fleur.
The horse sees a chair.,Le cheval voit une chaise.
The horse sees a map.,Le cheval voit une carte.
The horse sees a phone.,Le cheval voit un téléphone.
The child sees a book.,L'enfant voit un livre.
The child sees a ball.,L'enfant voit une balle.
The child sees an apple.,L'enfant voit une pomme.
The child sees a key.,L'enfant voit une clé.
The child sees a bag.,L'enfant voit un sac.
The child sees a letter.,L'enfant voit une lettre.
The child sees a flower.,L'enfant voit une fleur.
The child sees a chair.,L'enfant voit une chaise.
The child sees a map.,L'enfant voit une carte.
The child sees a phone.,L'enfant voit un téléphone.
The teacher sees a book.,Le professeur voit un livre.
The teacher sees a ball.,Le professeur voit une balle.
The teacher sees an apple.,Le professeur voit une pomme.
The teacher sees a key.,Le professeur voit une clé.
The teacher sees a bag.,Le professeur voit un sac.
The teacher sees a letter.,Le professeur voit une lettre.
The teacher sees a flower.,Le professeur voit une fleur.
The teacher sees a chair.,Le professeur voit une chaise.
The teacher sees a map.,Le professeur voit une carte.
The teacher sees a phone.,Le professeur voit un téléphone.
The doctor sees a book.,Le médecin voit un livre.
The doctor sees a ball.,Le médecin voit une balle.
The doctor sees an apple.,Le médecin voit une pomme.
The doctor sees a key.,Le médecin voit une clé.
The doctor sees a bag.,Le médecin voit un sac.
The doctor sees a letter.,Le médecin voit une lettre.
The doctor sees a flower.,Le médecin voit une fleur.
The doctor sees a chair.,Le médecin voit une chaise.
The doctor sees a map.,Le médecin voit une carte.
The doctor sees a phone.,Le médecin voit un téléphone.
The friend sees a book.,L'ami voit un livre.
The friend sees a ball.,L'ami voit une balle.
The friend sees an apple.,L'ami voit une pomme.
The friend sees a key.,L'ami voit une clé.
The friend sees a bag.,L'ami voit un sac.
The friend sees a letter.,L'ami voit une lettre.
The friend sees a flower.,L'ami voit une fleur.
The friend sees a chair.,L'ami voit une chaise.
The friend sees a map.,L'ami voit une carte.
The friend sees a phone.,L'ami voit un téléphone.
The student sees a book.,L'étudiant voit un livre.
The student sees a ball.,L'étudiant voit une balle.
The student sees an apple.,L'étudiant voit une pomme.
The student sees a key.,L'étudiant voit une clé.
The student sees a bag.,L'étudiant voit un sac.
The student sees a letter.,L'étudiant voit une lettre.
The student sees a flower.,L'étudiant voit une fleur.
The student sees a chair.,L'étudiant voit une chaise.
The student sees a map.,L'étudiant voit une carte.
The student sees a phone.,L'étudiant voit un téléphone.
